ISSN,Título,Estrato
1084-7529,"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. A, OPTICS, IMAGE SCIENCE, AND VISION",A4
0740-3224,"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. B, OPTICAL PHYSICS",A3
1742-5662,JOURNAL OF THE ROYAL SOCIETY INTERFACE,A2
2212-4438,JOURNAL OF THE WORLD FEDERATION OF ORTHODONTISTS,A2
1388-6150,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,A1
0306-4565,JOURNAL OF THERMAL BIOLOGY,A1
1932-6254,JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE,A2
1932-7005,JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE,A2
1528-7394,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH. PART A: CURRENT ISSUES,A4
0946-672X,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,A2
2225-4110,JOURNAL OF TRADITIONAL AND COMPLEMENTARY MEDICINE,A1
1479-5876,JOURNAL OF TRANSLATIONAL MEDICINE (ONLINE),A1
1195-1982,JOURNAL OF TRAVEL MEDICINE,A1
1465-3664,JOURNAL OF TROPICAL PEDIATRICS,A3
0734-2101,"JOURNAL OF VACUUM SCIENCE & TECHNOLOGY. A. VACUUM, SURFACES, AND FILMS",A3
0898-7564,JOURNAL OF VETERINARY DENTISTRY,B2
1940-087X,JOURNAL OF VISUALIZED EXPERIMENTS,B1
0892-1997,JOURNAL OF VOICE,A1
0969-0700,JOURNAL OF WOUND CARE,A2
0975-1505,JOURNAL OF YOUNG PHARMACISTS,B4
0975-1483,JOURNAL OF YOUNG PHARMACISTS (PRINT),B4
2763-7719,JOURNAL ON INTERACTIVE SYSTEMS (JIS),A4
2333-7133,JSM DENTISTRY,C
2405-6103,KARBALA INTERNATIONAL JOURNAL OF MODERN SCIENCE,A4
2965-4084,KARIRI SCIENCE,C
0085-2538,KIDNEY INTERNATIONAL,A1
1984-8900,KÍNESIS (MARÍLIA),A3
1225-5610,KOREAN JOURNAL OF ORTHODONTICS,A2
2453-188X,LA CHARRETTE,B4
1972-6007,LA CLINICA TERAPEUTICA (ONLINE),A4
1879-3991,LA REVUE DE SANTÉ SCOLAIRE ET UNIVERSITAIRE,C
0023-6772,LABORATORY ANIMALS (LONDON),A1
0023-6837,LABORATORY INVESTIGATION (PRINT),A1
0140-6736,LANCET (BRITISH EDITION),A1
1473-3099,LANCET. INFECTIOUS DISEASES (PRINT),A1
1054-660X,LASER PHYSICS,A4
1612-2011,LASER PHYSICS LETTERS (PRINT),A3
0898-5901,LASER THERAPY,A4
2367-2587,LASERS IN DENTAL SCIENCE (ONLINE),B2
0268-8921,LASERS IN MEDICAL SCIENCE,A2
1435-604X,LASERS IN MEDICAL SCIENCE (INTERNET),A2
0196-8092,LASERS IN SURGERY AND MEDICINE (PRINT),A2
2178-4833,LATIN AMERICAN JOURNAL OF BUSINESS MANAGEMENT,B2
1514-3465,LECTURAS: EDUCACIÓN FÍSICA Y DEPORTES,B1
1344-6223,LEGAL MEDICINE (TOKYO),A4
1472-765X,LETTERS APPLIED MICROBIOLOGY,B1
0266-8254,LETTERS IN APPLIED MICROBIOLOGY,B1
2218-5046,LETTERS ON MATERIALS,B2
1042-8194,LEUKEMIA & LYMPHOMA (PRINT),A4
1981-3171,LICERE (CENTRO DE ESTUDOS DE LAZER E RECREAÇÃO. ONLINE),B2
2075-1729,LIFE,A2
0024-3205,LIFE SCIENCES (1973),A1
1476-511X,LIPIDS IN HEALTH AND DISEASE,A2
1527-6465,LIVER TRANSPLANTATION,A1
1871-1413,LIVESTOCK SCIENCE (PRINT),A1
2616-2806,LONGHUA CHINESE MEDICINE,B2
2075-4442,LUBRICANTS,C
2177-2789,LUMEN ET VIRTUS,B2
0961-2033,LUPUS (BASINGSTOKE),A4
1477-0962,LUPUS (LONDON. ONLINE),A4
1475-2875,MALARIA JOURNAL (ONLINE),A3
2236-5435,"MANUAL THERAPY, POSTUROLOGY & REHABILITATION JOURNAL",B3
0025-3162,MARINE BIOLOGY (BERLIN),A3
1517-7076,MATÉRIA (UFRJ),B3
2589-1529,MATERIALIA,A3
0264-1275,MATERIALS & DESIGN,A1
1996-1944,MATERIALS (BASEL),A3
0254-0584,MATERIALS CHEMISTRY AND PHYSICS,A1
0167-577X,MATERIALS LETTERS (GENERAL ED.),A1
1873-4979,MATERIALS LETTERS (ONLINE),A1
1980-5373,MATERIALS RESEARCH,A3
2053-1591,MATERIALS RESEARCH EXPRESS,A3
1516-1439,MATERIALS RESEARCH (SÃO CARLOS. IMPRESSO),A3
0928-4931,"MATERIALS SCIENCE & ENGINEERING. C, BIOMIMETIC MATERIALS, SENSORS AND SYSTEMS (PRINT)",A1
0927-796X,"MATERIALS SCIENCE & ENGINEERING. R, REPORTS",A1
2153-117X,MATERIALS SCIENCES AND APPLICATIONS (PRINT),C
2590-0064,MATERIALS TODAY BIO,A1
2468-5194,MATERIALS TODAY CHEMISTRY,A1
2352-4928,MATERIALS TODAY COMMUNICATIONS,A3
1092-7875,MATERNAL AND CHILD HEALTH JOURNAL,A2
2150-7511,MBIO (ONLINE),A2
2772-2759,MEASUREMENT: FOOD,B1
1466-1861,MEDIATORS OF INFLAMMATION,C
2045-9912,MEDICAL GAS RESEARCH,A3
0306-9877,MEDICAL HYPOTHESES,A1
2995-7907,MEDICAL JOURNAL OF EUROPE (ONLINE),C
0300-8584,MEDICAL MICROBIOLOGY AND IMMUNOLOGY,A2
2211-7539,MEDICAL MYCOLOGY CASE REPORTS,A4
1460-2709,MEDICAL MYCOLOGY (OXFORD. ONLINE),A1
1369-3786,MEDICAL MYCOLOGY (OXFORD. PRINT),A1
1011-7571,MEDICAL PRINCIPLES AND PRACTICE,A1
2156-8650,MEDICAL SCIENCE EDUCATOR,A3
1648-9144,MEDICINA,A2
0025-7753,MEDICINA CLÍNICA (ED. IMPRESA),A2
2173-5727,MEDICINA INTENSIVA (ENGLISH EDITION),A3
1698-4447,"MEDICINA ORAL, PATOLOGÍA ORAL Y CIRUGÍA BUCAL (ED. IMPRESA)",A2
1698-6946,"MEDICINA ORAL, PATOLOGÍA ORAL Y CIRUGÍA BUCAL (INTERNET)",A2
2176-7262,MEDICINA (RIBEIRAO PRETO. ONLINE),B2
0076-6046,MEDICINA (USP.FMRP),B2
0198-6325,MEDICINAL RESEARCH REVIEWS (PRINT),A1
2668-0572,MEDICINE AND PHARMACY REPORTS,A4
0025-7974,"MEDICINE (BALTIMORE, MD.)",A3
2763-5678,MEDNEXT JOURNAL OF MEDICAL AND HEALTH SCIENCES,C
2833-0978,MEDPRESS PUBLIC HEALTH AND EPIDEMIOLOGY (ONLINE),B3
0717-6384,MEDWAVE,A4
2077-0375,MEMBRANES,A4
0074-0276,MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO),A3
1678-8060,MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE),A3
1530-0374,MENOPAUSE,A2
1984-2201,MERCATOR (FORTALEZA. ONLINE),A1
2175-2753,META: AVALIAÇÃO,B1
2218-1989,METABOLITES,A4
1573-3890,METABOLOMICS. (DORDRECHT. PRINT),A2
2075-4701,METALS - OPEN ACCESS METALLURGY JOURNAL,A3
1138-7262,METAS DE ENFERMERÍA,B4
2409-9279,METHODS AND PROTOCOLS,A4
1940-6029,METHODS IN MOLECULAR BIOLOGY,B3
2215-0161,METHODSX,A2
1390-2989,METRO CIENCIA (PRINT),C
2091-1483,MICD JOURNAL OF MINIMALLY INVASIVE COSMETIC DENTISTRY,C
2311-2638,MICROBIAL CELL,A2
1076-6294,"MICROBIAL DRUG RESISTANCE (LARCHMONT, N.Y.)",A4
0882-4010,MICROBIAL PATHOGENESIS,A2
1096-1208,MICROBIAL PATHOGENESIS,A2
2456-7043,MICROBIOLOGY RESEARCH JOURNAL INTERNATIONAL,B2
2165-0497,MICROBIOLOGY SPECTRUM,A4
2049-2618,MICROBIOME,A1
0026-265X,MICROCHEMICAL JOURNAL (PRINT),A1
2076-2607,MICROORGANISMS,A3
1097-0029,MICROSCOPY RESEARCH AND TECHNIQUE,A2
1059-910X,MICROSCOPY RESEARCH AND TECHNIQUE (PRINT),A2
2075-163X,MINERALS,A3
2724-6337,MINERVA DENTAL AND ORAL SCIENCE,A4
0026-4695,MINERVA (LONDON),A2
1827-174X,MINERVA STOMATOLOGICA (ONLINE),B3
0026-4970,MINERVA STOMATOLOGICA (TESTO STAMPATO),B3
1389-5575,MINI-REVIEWS IN MEDICINAL CHEMISTRY,A2
2447-3073,MIX SUSTENTÁVEL (ONLINE),A2
0893-3952,MODERN PATHOLOGY,A1
2637-7764,MODERN RESEARCH IN DENTISTRY,B4
2471-139X,MOJ ANATOMY & PHYSIOLOGY,C
2574-8130,MOJ GERONTOLOGY & GERIATRICS,B2
2379-6383,MOJ PUBLIC HEALTH,B4
1535-9484,MOLECULAR & CELLULAR PROTEOMICS (ONLINE),A1
0303-7207,MOLECULAR AND CELLULAR ENDOCRINOLOGY (PRINT),A2
2049-9450,MOLECULAR AND CLINICAL ONCOLOGY,B1
0737-4038,MOLECULAR BIOLOGY AND EVOLUTION,A1
1939-4586,MOLECULAR BIOLOGY OF THE CELL (ONLINE),B1
0301-4851,MOLECULAR BIOLOGY REPORTS,A4
1573-4978,MOLECULAR BIOLOGY REPORTS,A4
0899-1987,MOLECULAR CARCINOGENESIS (PRINT),A3
1096-7192,MOLECULAR GENETICS AND METABOLISM (PRINT),A3
1528-3658,MOLECULAR MEDICINE (ONLINE),A2
0893-7648,MOLECULAR NEUROBIOLOGY,A2
1613-4125,MOLECULAR NUTRITION & FOOD RESEARCH (PRINT),A1
2041-1006,MOLECULAR ORAL MICROBIOLOGY,A1
1661-8769,MOLECULAR SYNDROMOLOGY,B3
1420-3049,MOLECULES (BASEL. ONLINE),A2
0077-0892,MONOGRAPHS IN ORAL SCIENCE (PRINT),C
1286-0115,MORPHOLOGIE (ASSOCIATION DES ANATOMISTES),A4
1981-7207,MOUSEION (UNILASALLE),A4
2159-6867,MRS COMMUNICATIONS (ONLINE),B2
2379-5042,MSPHERE,A2
2379-5077,MSYSTEMS,A1
2176-1019,MUDANÇAS-PSICOLOGIA DA SAÚDE,A4
1413-8972,MULTICIÊNCIA (ASSER),C
2675-1240,MULTIDISCIPLINARY SCIENCE JOURNAL,B4
2211-0348,MULTIPLE SCLEROSIS AND RELATED DISORDERS,A3
2595-6590,MULTI-SCIENCE RESEARCH,B4
2468-7812,MUSCULOSKELETAL SCIENCE AND PRACTICE,A2
1383-5718,MUTATION RESEARCH. GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,B1
1383-5742,MUTATION RESEARCH. REVIEWS IN MUTATION RESEARCH (PRINT),A1
1573-0832,MYCOPATHOLOGIA (DORDRECHT. ONLINE),A1
0301-486X,MYCOPATHOLOGIA (1975. PRINT),A1
0933-7407,MYCOSES (BERLIN),A1
2688-4011,NANO SELECT,C
2079-4991,NANOMATERIALS,A2
1743-5889,NANOMEDICINE,A1
1549-9634,"NANOMEDICINE: NANOTECHNOLOGY, BIOLOGY AND MEDICINE",A1
1743-5390,NANOTOXICOLOGY.,A1
0975-5950,NATIONAL JOURNAL OF MAXILLOFACIAL SURGERY,B1
0090-3132,NATIONAL LIBRARY OF MEDICINE,C
1478-6419,NATURAL PRODUCT RESEARCH (PRINT),A2
1478-6427,NATURAL PRODUCTS RESEARCH,A2
2041-1723,NATURE COMMUNICATIONS,A1
2397-3374,NATURE HUMAN BEHAVIOUR,A1
0028-0836,NATURE (LONDON),A1
1078-8956,NATURE MEDICINE (PRINT),A1
2058-5276,NATURE MICROBIOLOGY,A1
1097-6256,NATURE NEUROSCIENCE (PRINT),A1
1474-1733,NATURE REVIEWS. IMMUNOLOGY (PRINT),A1
2058-8437,NATURE REVIEWS. MATERIALS,A1
1432-1912,NAUNYN-SCHMIEDEBERG'S ARCHIVES OF PHARMACOLOGY,A2
0028-1298,NAUNYN-SCHMIEDEBERG'S ARCHIVES OF PHARMACOLOGY,A2
0925-8604,NEDERLANDS TIJDSCHRIFT VOOR DERMATOLOGIE & VENEREOLOGIE (PRINT),C
1476-5586,NEOPLASIA (BASINGSTOKE. ONLINE),A2
0969-9961,NEUROBIOLOGY OF DISEASE,A1
0364-3190,NEUROCHEMICAL RESEARCH,A2
0028-3908,NEUROPHARMACOLOGY,A1
0149-7634,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,A1
0304-3940,NEUROSCIENCE LETTERS (PRINT),A4
1029-8428,NEUROTOXICITY RESEARCH,A2
0028-4793,NEW ENGLAND JOURNAL OF MEDICINE (PRINT),A1
1144-0546,NEW JOURNAL OF CHEMISTRY (1987),A2
1749-6632,NEW YORK ACADEMY OF SCIENCES. ANNALS,A1
1089-8603,NITRIC OXIDE (PRINT),A2
2179-7536,NOVOS CADERNOS NAEA,B1
0168-583X,"NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH. SECTION B, BEAM INTERACTIONS WITH MATERIALS AND ATOMS (PRINT)",B1
1471-5953,NURSE EDUCATION IN PRACTICE,A1
1442-2018,NURSING AND HEALTH SCIENCES,A1
2675-049X,NURSING (ED. BRASILEIRA. ONLINE),B1
1677-0234,NUTRIÇÃO BRASIL,C
2072-6643,NUTRIENTS (BASEL),A1
0899-9007,NUTRITION,A1
0163-5581,NUTRITION AND CANCER,A2
2047-945X,NUTRITION AND HEALTH,A3
0884-5336,NUTRITION IN CLINICAL PRACTICE,A2
0029-6643,NUTRITION REVIEWS,A1
1476-8305,NUTRITIONAL NEUROSCIENCE (ONLINE),A1
0104-7809,O MUNDO DA SAÚDE (CUSC. IMPRESSO),B4
1980-3990,O MUNDO DA SAÚDE (ONLINE),B4
2451-8476,OBESITY MEDICINE,A2
0960-8923,OBESITY SURGERY,A1
1696-8352,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,C
2176-1000,ODONTO,C
6797-0974,ODONTOESTOMATOLOGIA,C
0797-0374,ODONTOESTOMATOLOGÍA,C
1390-9967,ODONTOLOGÍA,C
1677-3888,ODONTOLOGIA CLÍNICO-CIENTÍFICA (IMPRESSO),B4
1677-6666,ODONTOLOGIA CLÍNICO-CIENTÍFICA (ONLINE),B4
1560-9111,ODONTOLOGÍA SANMARQUINA,C
1618-1255,ODONTOLOGY,A2
1618-1247,ODONTOLOGY,A2
2215-3411,ODOVTOS - INTERNATIONAL JOURNAL OF DENTAL SCIENCES,B2
2247-2452,OHDM - ORAL HEALTH AND DENTAL MANAGEMENT,C
0030-2228,OMEGA (FARMINGDALE . PRINT),A2
1423-0232,ONCOLOGY,A3
1792-1082,ONCOLOGY LETTERS,A3
1949-2553,ONCOTARGET,A3
2352-7714,ONE HEALTH,A1
1608-4217,ONLINE JOURNAL OF BIOLOGICAL SCIENCES,A4
2641-1962,ONLINE JOURNAL OF DENTISTRY & ORAL HEALTH,C
2833-0994,OPEN ACCESS JOURNAL OF DENTAL AND ORAL SURGERY (OAJDOS),C
2573-8771,OPEN ACCESS JOURNAL OF DENTAL SCIENCES,B3
2689-7822,OPEN ACCESS JOURNAL OF MYCOLOGY & MYCOLOGICAL SCIENCES,C
2046-2441,OPEN BIOLOGY,A2
2666-5395,OPEN CERAMICS,A2
2162-5816,OPEN JOURNAL OF CLINICAL DIAGNOSTICS.,C
2160-8792,OPEN JOURNAL OF OBSTETRICS AND GYNECOLOGY,C
2160-8717,OPEN JOURNAL OF STOMATOLOGY,C
1874-3129,OPEN RHEUMATOLOGY JOURNAL,B3
2381-4969,OPEN SCIENCE JOURNAL OF STATISTICS AND APPLICATION,B4
2466-4308,OPEN SCIENCE JOURNAL (OSJ),B1
0361-7734,OPERATIVE DENTISTRY,A2
1559-2863,OPERATIVE DENTISTRY (ONLINE),A2
2673-3269,OPTICS,B1
0030-3992,OPTICS & LASER TECHNOLOGY,A2
0143-8166,OPTICS AND LASERS IN ENGINEERING,A2
1094-4087,OPTICS EXPRESS,A2
0146-9592,OPTICS LETTERS,A2
2673-6373,ORAL,C
1865-1569,ORAL AND MAXILLOFACIAL SURGERY,A3
1042-3699,ORAL AND MAXILLOFACIAL SURGERY CLINICS OF NORTH AMERICA,A3
1865-1550,ORAL AND MAXILLOFACIAL SURGERY (PRINT),A3
1601-0825,ORAL DISEASES,A1
1354-523X,ORAL DISEASES,A1
2639-9490,ORAL HEALTH & DENTAL SCIENCE,B3
1602-1622,ORAL HEALTH & PREVENTIVE DENTISTRY,A2
2573-4989,ORAL HEALTH AND DENTISTRY,C
2471-8726,ORAL HEALTH CASE REPORTS,C
1879-0593,ORAL ONCOLOGY (ONLINE),A1
2772-9060,ORAL ONCOLOGY REPORTS,B4
1368-8375,ORAL ONCOLOGY (1997),A1
0911-6028,ORAL RADIOLOGY,A2
1348-8643,ORAL SCIENCE INTERNATIONAL,B2
1752-248X,ORAL SURGERY,B1
2212-4403,"ORAL SURGERY, ORAL MEDICINE, ORAL PATHOLOGY AND ORAL RADIOLOGY",A2
2212-4411,"ORAL SURGERY, ORAL MEDICINE, ORAL PATHOLOGY AND ORAL RADIOLOGY",A2
1079-2104,"ORAL SURGERY, ORAL MEDICINE, ORAL PATHOLOGY, ORAL RADIOLOGY AND ENDODONTICS",A2
1528-395X,"ORAL SURGERY, ORAL MEDICINE, ORAL PATHOLOGY, ORAL RADIOLOGY AND ENDODONTICS (ONLINE)",A2
1752-2471,ORAL SURGERY (PRINT),B1
1984-6428,ORBITAL: THE ELECTRONIC JOURNAL OF CHEMISTRY,B2
0301-1569,ORL (BASEL),A4
1982-8799,ORTHO SCIENCE: ORTHODONTIC SCIENCE AND PRACTICE,B3
1344-0241,ORTHODONTIC WAVES,C
1601-6335,ORTHODONTICS & CRANIOFACIAL RESEARCH (PRINT),A1
0030-5944,ORTODONTIA,B4
0937-941X,OSTEOPOROSIS INTERNATIONAL,A2
0030-6665,OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA,B1
1942-0994,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY (ONLINE),A1
0191-9512,OZONE: SCIENCE & ENGINEERING,A2
1982-6109,PAIDÉI@ (SANTOS),A4
0304-3959,PAIN (AMSTERDAM. PRINT),A1
1758-1869,PAIN MANAGEMENT,A4
1526-2375,"PAIN MEDICINE (MALDEN, MASS.)",A2
2358-4696,PAN AMERICAN JOURNAL OF MEDICAL THERMOLOGY,B3
2303-2308,PARADIGMA LINGUA,C
0141-9838,PARASITE IMMUNOL.,A3
1469-8161,PARASITOLOGY (CAMBRIDGE. ONLINE),A2
0031-1820,PARASITOLOGY (LONDON. PRINT),A2
0932-0113,PARASITOLOGY RESEARCH (1987. PRINT),A1
1353-8020,PARKINSONISM & RELATED DISORDERS,A3
1677-1893,PARTICIPAÇÃO (UNB),B3
2076-0817,PATHOGENS,A3
2049-632X,PATHOGENS AND DISEASE,A2
2047-7724,PATHOGENS AND GLOBAL HEALTH,A4
0344-0338,"PATHOLOGY, RESEARCH AND PRACTICE (PRINT)",A3
0928-4680,PATHOPHYSIOLOGY (AMSTERDAM. PRINT),C
1179-271X,PATIENT RELATED OUTCOME MEASURES,C
0090-4481,PEDIATRIC ANNALS,B1
1545-5009,PEDIATRIC BLOOD & CANCER,A2
0917-2394,PEDIATRIC DENTAL JOURNAL,A4
0164-1263,PEDIATRIC DENTISTRY,A3
0888-0018,PEDIATRIC HEMATOLOGY AND ONCOLOGY,A4
8755-6863,PEDIATRIC PULMONOLOGY,A2
1099-0496,PEDIATRIC PULMONOLOGY (ONLINE),A2
1397-3142,PEDIATRIC TRANSPLANTATION,A4
1541-1389,PEER REVIEW,A4
2167-8359,PEERJ,A2
2674-7499,PENSAR ACADÊMICO (ONLINE),A2
1808-6136,PENS@R ACADÊMICO,B1
0196-9781,"PEPTIDES (NEW YORK, N.Y. 1980)",A3
0031-5125,PERCEPTUAL AND MOTOR SKILLS,B1
2948-2453,PERIODONTAL AND IMPLANT RESEARCH (ONLINE),C
0906-6713,PERIODONTOLOGY 2000,A1
1600-0757,PERIODONTOLOGY 2000,A1
0191-8869,PERSONALITY AND INDIVIDUAL DIFFERENCES,A1
2530-0644,PERSPECTIVES IN ECOLOGY AND CONSERVATION,A1
2951-2298,PERSPECTIVES ON INTEGRATIVE MEDICINE (ONLINE),C
2358-646X,PESQUISA & EDUCAÇÃO A DISTÂNCIA,A4
1678-3921,PESQUISA AGROPECUÁRIA BRASILEIRA (ONLINE),A4
1983-4632,PESQUISA BRASILEIRA EM ODONTOPEDIATRIA E CLÍNICA INTEGRADA,A4
1519-0501,PESQUISA BRASILEIRA EM ODONTOPEDIATRIA E CLÍNICA INTEGRADA (IMPRESSO),A4
2177-580X,PESQUISA EM EDUCAÇÃO AMBIENTAL,A3
0031-6768,PFLUEGERS ARCHIV,A2
1388-0209,PHARMACEUTICAL BIOLOGY,A2
0724-8741,PHARMACEUTICAL RESEARCH,A2
1424-8247,PHARMACEUTICALS,A2
1999-4923,PHARMACEUTICS,A2
1462-2416,PHARMACOGENOMICS (LONDON),B1
1734-1140,PHARMACOLOGICAL REPORTS,A2
0091-3057,"PHARMACOLOGY, BIOCHEMISTRY AND BEHAVIOR",A2
2226-4787,PHARMACY,B2
1477-2701,PHARMACY EDUCATION (ONLINE),B2
2578-5478,"PHOTOBIOMODULATION, PHOTOMEDICINE, AND LASER SURGERY",A3
1474-905X,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES (PRINT),A3
0031-8655,PHOTOCHEMISTRY AND PHOTOBIOLOGY,A1
1751-1097,PHOTOCHEMISTRY AND PHOTOBIOLOGY,A1
0905-4383,"PHOTODERMATOLOGY, PHOTOIMMUNOLOGY & PHOTOMEDICINE",A3
1600-0781,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,A3
1572-1000,PHOTODIAGNOSIS AND PHOTODYNAMIC THERAPY (PRINT),A2
2304-6732,PHOTONICS,A4
2327-9125,PHOTONICS RESEARCH,A1
0194-2638,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,A1
1669-5402,PHYSIOLOGICAL MINI-REVIEWS (IMPRESA),B4
2051-817X,PHYSIOLOGICAL REPORTS,A4
1548-9213,PHYSIOLOGY,A1
0031-9384,PHYSIOLOGY & BEHAVIOR,A2
0959-3985,PHYSIOTHERAPY THEORY AND PRACTICE,A3
1809-4481,PHYSIS [ON LINE],A3
0031-9422,PHYTOCHEMISTRY,A1
2667-0313,PHYTOMEDICINE PLUS,A3
1099-1573,PHYTOTHERAPY RESEARCH (ONLINE),A1
1386-341X,PITUITARY (NEW YORK),A3
0143-4004,PLACENTA (EASTBOURNE),A1
0032-0943,PLANTA MEDICA,A2
1439-0221,PLANTA MEDICA (INTERNET),A2
2223-7747,PLANTS,A2
0272-4324,PLASMA CHEMISTRY AND PLASMA PROCESSING,A2
1612-8850,PLASMA PROCESSES AND POLYMERS (PRINT),A2
1369-1635,PLATELETS (ABINGDON. ONLINE),A2
0953-7104,PLATELETS (EDINBURGH. PRINT),A2
1545-7885,PLOS BIOLOGY,A1
2767-3375,PLOS GLOBAL PUBLIC HEALTH,A4
1935-2735,PLOS NEGLECTED TROPICAL DISEASES (ONLINE),A2
1932-6203,PLOS ONE,A1
2752-6542,PNAS NEXUS,A2
1659-0201,POBLACIÓN Y SALUD EN MESOAMÉRICA,B3
1678-5169,POLÍMEROS - CIÊNCIA E TECNOLOGIA (ONLINE),A4
0104-1428,POLÍMEROS: CIÊNCIA E TECNOLOGIA (IMPRESSO),A4
2238-152X,POLIS E PSIQUE,B1
1232-406X,POLISH JOURNAL OF SPORTS MEDICINE,C
1519-9029,POLÍTICA E GESTÃO EDUCACIONAL (ONLINE),A1
1436-2449,POLYMER BULLETIN (BERLIN. INTERNET),A2
0170-0839,POLYMER BULLETIN (BERLIN. PRINT),A2
0032-3888,POLYMER ENGINEERING AND SCIENCE,A2
2073-4360,POLYMERS,A3
1042-7147,POLYMERS FOR ADVANCED TECHNOLOGIES (PRINT),A2
2451-2699,POLYMERS IN MEDICINE,B3
2654-1459,POPULATION MEDICINE,B2
1984-4352,PRACS: REVISTA ELETRÔNICA DE HUMANIDADES DO CURSO DE CIÊNCIAS SOCIAIS DA UNIFAP,A3
1214-6994,PRAGUE MEDICAL REPORT,B1
2675-7591,PRÁTICAS E CUIDADOS,B3
2210-7789,PREGNANCY HYPERTENSION: AN INTERNATIONAL JOURNAL OF WOMEN'S CARDIOVASCULAR HEALTH,A3
1082-6068,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,A4
1545-1151,"PREVENTING CHRONIC DISEASES: PUBLIC HEALTH RESEARCH, PRACTICE, AND POLICY",A2
0091-7435,PREVENTIVE MEDICINE (1972. PRINT),A1
2287-1098,PREVENTIVE NUTRITION AND FOOD SCIENCE,A4
1751-9918,PRIMARY CARE DIABETES (PRINT),A2
2050-1684,PRIMARY DENTAL JOURNAL,B1
1517-0306,PRINCIPIA (JOÃO PESSOA),B2
1867-1306,PROBIOTICS AND ANTIMICROBIAL PROTEINS,A1
1018-4732,PROCEEDINGS - SPIE,B3
0954-4119,"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS. PART H, JOURNAL OF ENGINEERING IN MEDICINE",A2
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,A1
1091-6490,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA (ONLINE),A1
1359-5113,PROCESS BIOCHEMISTRY (1991),A2
0278-5846,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,A1
0300-9440,PROGRESS IN ORGANIC COATINGS (PRINT),A1
2196-1042,PROGRESS IN ORTHODONTICS,A1
0079-6727,PROGRESS IN QUANTUM ELECTRONICS,A1
1526-9248,PROGRESS IN TRANSPLANTATION,B2
1098-8823,PROSTAGLANDINS & OTHER LIPID MEDIATORS,A4
2673-1592,PROSTHESIS,C
2595-279X,PROSTHESIS AND ESTHETICS IN SCIENCE,C
2237-0439,PROSTHESIS LABORATORY IN SCIENCE,C
0309-3646,PROSTHETICS AND ORTHOTICS INTERNATIONAL,A2
0929-8665,PROTEIN AND PEPTIDE LETTERS,B2
2358-0046,PRÓTESENEWS,C
0033-1783,PROTETYKA STOMATOLOGICZNA,B1
1980-8623,PSICO (PUCRS. ONLINE),A2
2316-1124,PSICOLOGIA & SABERES,A4
2317-3394,"PSICOLOGIA, DIVERSIDADE E SAÚDE",A4
2446-922X,PSICOLOGIA E SAÚDE EM DEBATE,B1
2182-8407,"PSICOLOGIA, SAÚDE & DOENÇAS",A3
0165-1781,PSYCHIATRY RESEARCH (PRINT),A1
0033-2941,PSYCHOLOGICAL REPORTS,A1
1354-8506,"PSYCHOLOGY, HEALTH & MEDICINE",A2
0033-3158,PSYCHOPHARMACOLOGY,A3
0951-418X,PTR. PHYTOTHERAPY RESEARCH,A1
2769-2450,PUBLIC HEALTH CHALLENGES (ONLINE),B2
0033-3506,PUBLIC HEALTH (LONDON),A1
1368-9800,PUBLIC HEALTH NUTRITION (WALLINGFORD),A1
1676-8485,PUBLICATIO UEPG. CIÊNCIAS BIOLÓGICAS E DA SAÚDE (IMPRESSO),B3
1809-0273,PUBLICATIO UEPG. CIÊNCIAS BIOLÓGICAS E DA SAÚDE (ONLINE),B3
1982-1263,PUBVET (LONDRINA),C
1049-7323,QUALITATIVE HEALTH RESEARCH,A1
0962-9343,QUALITY OF LIFE RESEARCH,A2
0100-4042,QUÍMICA NOVA (IMPRESSO),A4
0033-6572,QUINTESSENCE INTERNATIONAL,A4
